$ /bin/python /home/gerardo/Proyectos/palindromo/main.py

79 : Tiempo A:  0.5764908790588379 seg   Tiempo B: 0.0065267086029052734
80 : Tiempo A:  2.8552169799804688 seg   Tiempo B: 0.017765045166015625
81 : Tiempo A:  1.4106626510620117 seg   Tiempo B: 0.011870861053466797
82 : Tiempo A:  1.364964246749878 seg    Tiempo B: 0.011639118194580078
83 : Tiempo A:  0.028061866760253906 seg         Tiempo B: 0.0007572174072265625
84 : Tiempo A:  5.131226062774658 seg    Tiempo B: 0.031023025512695312
85 : Tiempo A:  0.00875711441040039 seg  Tiempo B: 0.0004730224609375
86 : Tiempo A:  0.002002239227294922 seg         Tiempo B: 0.0001201629638671875
87 : Tiempo A:  4.683875560760498 seg    Tiempo B: 0.029496431350708008
88 : Tiempo A:  0.17904186248779297 seg  Tiempo B: 0.002231121063232422
89 : Tiempo A:  2.228626012802124 seg    Tiempo B: 0.018246889114379883
90 : Tiempo A:  1.2500169277191162 seg   Tiempo B: 0.012360334396362305
91 : Tiempo A:  1.8199279308319092 seg   Tiempo B: 0.013055086135864258
92 : Tiempo A:  1.057591199874878 seg    Tiempo B: 0.00896143913269043
93 : Tiempo A:  6.096666097640991 seg    Tiempo B: 0.03261566162109375
94 : Tiempo A:  1.864537239074707 seg    Tiempo B: 0.01274871826171875
95 : Tiempo A:  0.12183213233947754 seg  Tiempo B: 0.0018248558044433594
96 : Tiempo A:  0.07952880859375 seg     Tiempo B: 0.0017316341400146484
97 : Tiempo A:  1.1627497673034668 seg   Tiempo B: 0.01088857650756836
98 : Tiempo A:  0.12059974670410156 seg  Tiempo B: 0.001848459243774414
99 : Tiempo A:  4.318021059036255 seg    Tiempo B: 0.023258686065673828
100 : Tiempo A:  4.27333402633667 seg    Tiempo B: 0.026699304580688477
101 : Tiempo A:  0.6709585189819336 seg  Tiempo B: 0.005736112594604492
102 : Tiempo A:  1.7651338577270508 seg  Tiempo B: 0.013426542282104492
103 : Tiempo A:  0.05895638465881348 seg         Tiempo B: 0.0012617111206054688
104 : Tiempo A:  0.9100310802459717 seg  Tiempo B: 0.007780790328979492
105 : Tiempo A:  0.29003357887268066 seg         Tiempo B: 0.003737926483154297
106 : Tiempo A:  4.066940784454346 seg   Tiempo B: 0.024173974990844727
107 : Tiempo A:  0.0002510547637939453 seg       Tiempo B: 3.8623809814453125e-05
108 : Tiempo A:  0.03819632530212402 seg         Tiempo B: 0.001062154769897461
109 : Tiempo A:  0.022116422653198242 seg        Tiempo B: 0.0006124973297119141
110 : Tiempo A:  0.19350385665893555 seg         Tiempo B: 0.003133058547973633
111 : Tiempo A:  3.020965099334717 seg   Tiempo B: 0.019570350646972656
112 : Tiempo A:  1.3030822277069092 seg  Tiempo B: 0.01085972785949707
113 : Tiempo A:  2.5437254905700684 seg  Tiempo B: 0.017752647399902344
114 : Tiempo A:  0.08062195777893066 seg         Tiempo B: 0.0018923282623291016
115 : Tiempo A:  0.9652535915374756 seg  Tiempo B: 0.009351253509521484
116 : Tiempo A:  1.1774709224700928 seg  Tiempo B: 0.009305953979492188
117 : Tiempo A:  3.695487976074219e-05 seg       Tiempo B: 1.2636184692382812e-05
118 : Tiempo A:  0.1803574562072754 seg  Tiempo B: 0.003060579299926758
119 : Tiempo A:  3.2299516201019287 seg  Tiempo B: 0.021984577178955078
120 : Tiempo A:  0.02405095100402832 seg         Tiempo B: 0.0007338523864746094
121 : Tiempo A:  0.008231878280639648 seg        Tiempo B: 0.0003769397735595703
122 : Tiempo A:  2.7429025173187256 seg  Tiempo B: 0.018346309661865234
123 : Tiempo A:  2.960434913635254 seg   Tiempo B: 0.019652128219604492
124 : Tiempo A:  0.004561901092529297 seg        Tiempo B: 0.00021147727966308594
125 : Tiempo A:  1.299138069152832 seg   Tiempo B: 0.010846614837646484
126 : Tiempo A:  5.64640736579895 seg    Tiempo B: 0.03181624412536621
127 : Tiempo A:  5.543452262878418 seg   Tiempo B: 0.03513669967651367
128 : Tiempo A:  5.8856165409088135 seg  Tiempo B: 0.033423423767089844
129 : Tiempo A:  0.4123373031616211 seg  Tiempo B: 0.0045316219329833984
130 : Tiempo A:  5.539310693740845 seg   Tiempo B: 0.03248262405395508
131 : Tiempo A:  0.05770301818847656 seg         Tiempo B: 0.001220703125
132 : Tiempo A:  1.245422124862671 seg   Tiempo B: 0.010289669036865234
133 : Tiempo A:  0.3065192699432373 seg  Tiempo B: 0.003323793411254883
134 : Tiempo A:  1.7222983837127686 seg  Tiempo B: 0.012237787246704102
135 : Tiempo A:  5.61386775970459 seg    Tiempo B: 0.03421163558959961
136 : Tiempo A:  3.956843614578247 seg   Tiempo B: 0.02664327621459961
137 : Tiempo A:  0.0015480518341064453 seg       Tiempo B: 0.00012421607971191406
138 : Tiempo A:  1.7539548873901367 seg  Tiempo B: 0.014901399612426758
139 : Tiempo A:  0.004048824310302734 seg        Tiempo B: 0.00021600723266601562
140 : Tiempo A:  1.596510410308838 seg   Tiempo B: 0.012362003326416016
141 : Tiempo A:  0.391629695892334 seg   Tiempo B: 0.003914356231689453
142 : Tiempo A:  0.6276984214782715 seg  Tiempo B: 0.0056912899017333984
143 : Tiempo A:  1.9705848693847656 seg  Tiempo B: 0.015818119049072266
144 : Tiempo A:  0.004452228546142578 seg        Tiempo B: 0.00021910667419433594
145 : Tiempo A:  4.755342245101929 seg   Tiempo B: 0.02986741065979004
146 : Tiempo A:  0.185072660446167 seg   Tiempo B: 0.0025177001953125
147 : Tiempo A:  0.17990994453430176 seg         Tiempo B: 0.0027532577514648438
148 : Tiempo A:  0.4978029727935791 seg  Tiempo B: 0.005334377288818359
149 : Tiempo A:  0.2522273063659668 seg  Tiempo B: 0.0038802623748779297
150 : Tiempo A:  0.08332395553588867 seg         Tiempo B: 0.0014882087707519531
151 : Tiempo A:  0.24577856063842773 seg         Tiempo B: 0.002963542938232422
152 : Tiempo A:  0.002699136734008789 seg        Tiempo B: 0.0001773834228515625
153 : Tiempo A:  0.2520153522491455 seg  Tiempo B: 0.002987384796142578
154 : Tiempo A:  0.6584210395812988 seg  Tiempo B: 0.005892038345336914
155 : Tiempo A:  1.7383151054382324 seg  Tiempo B: 0.014913558959960938
156 : Tiempo A:  1.887056589126587 seg   Tiempo B: 0.01508021354675293
157 : Tiempo A:  1.1182608604431152 seg  Tiempo B: 0.009312868118286133
158 : Tiempo A:  2.309519052505493 seg   Tiempo B: 0.01591658592224121
159 : Tiempo A:  0.22164702415466309 seg         Tiempo B: 0.0027794837951660156
160 : Tiempo A:  5.512073516845703 seg   Tiempo B: 0.03253459930419922
161 : Tiempo A:  2.478513479232788 seg   Tiempo B: 0.018817901611328125
162 : Tiempo A:  0.5410494804382324 seg  Tiempo B: 0.005213499069213867
163 : Tiempo A:  4.651259899139404 seg   Tiempo B: 0.030977249145507812
164 : Tiempo A:  0.6935350894927979 seg  Tiempo B: 0.006296873092651367
165 : Tiempo A:  0.032784223556518555 seg        Tiempo B: 0.0008432865142822266
166 : Tiempo A:  1.665403127670288 seg   Tiempo B: 0.013568639755249023
167 : Tiempo A:  0.3256492614746094 seg  Tiempo B: 0.0035429000854492188
168 : Tiempo A:  0.6882026195526123 seg  Tiempo B: 0.005983591079711914
169 : Tiempo A:  0.2952754497528076 seg  Tiempo B: 0.0031816959381103516
170 : Tiempo A:  3.0906319618225098 seg  Tiempo B: 0.021893024444580078
171 : Tiempo A:  5.298661947250366 seg   Tiempo B: 0.031386375427246094
172 : Tiempo A:  1.9300172328948975 seg  Tiempo B: 0.015136957168579102
173 : Tiempo A:  4.91406774520874 seg    Tiempo B: 0.029572725296020508
174 : Tiempo A:  0.3989553451538086 seg  Tiempo B: 0.00433349609375
175 : Tiempo A:  1.4855740070343018 seg  Tiempo B: 0.011089801788330078
176 : Tiempo A:  0.20962071418762207 seg         Tiempo B: 0.002882719039916992
177 : Tiempo A:  2.4241178035736084 seg  Tiempo B: 0.015618085861206055
178 : Tiempo A:  2.7418630123138428 seg  Tiempo B: 0.019713640213012695
179 : Tiempo A:  4.852490425109863 seg   Tiempo B: 0.03188037872314453
180 : Tiempo A:  0.003119945526123047 seg        Tiempo B: 0.00018525123596191406
181 : Tiempo A:  0.8187117576599121 seg  Tiempo B: 0.008471250534057617
182 : Tiempo A:  0.6793358325958252 seg  Tiempo B: 0.0058557987213134766
183 : Tiempo A:  0.05054593086242676 seg         Tiempo B: 0.001405954360961914
184 : Tiempo A:  2.279043197631836 seg   Tiempo B: 0.016468524932861328
185 : Tiempo A:  2.785043478012085 seg   Tiempo B: 0.018838882446289062
186 : Tiempo A:  0.08230376243591309 seg         Tiempo B: 0.0015532970428466797
187 : Tiempo A:  3.2026469707489014 seg  Tiempo B: 0.0211794376373291
188 : Tiempo A:  0.006269216537475586 seg        Tiempo B: 0.00028586387634277344
189 : Tiempo A:  1.3863747119903564 seg  Tiempo B: 0.010396480560302734
190 : Tiempo A:  0.9894251823425293 seg  Tiempo B: 0.008565425872802734
191 : Tiempo A:  1.061844825744629 seg   Tiempo B: 0.008652687072753906
192 : Tiempo A:  5.319986820220947 seg   Tiempo B: 0.031250715255737305
193 : Tiempo A:  0.144287109375 seg      Tiempo B: 0.0022416114807128906
194 : Tiempo A:  4.128512382507324 seg   Tiempo B: 0.02746415138244629
195 : Tiempo A:  3.786978244781494 seg   Tiempo B: 0.02263665199279785
196 : Tiempo A:  0.050501108169555664 seg        Tiempo B: 0.0011153221130371094
197 : Tiempo A:  0.0852808952331543 seg  Tiempo B: 0.001789093017578125
198 : Tiempo A:  0.8243424892425537 seg  Tiempo B: 0.007035970687866211
199 : Tiempo A:  0.0043544769287109375 seg       Tiempo B: 0.00033593177795410156
200 : Tiempo A:  0.0008268356323242188 seg       Tiempo B: 0.00011420249938964844
201 : Tiempo A:  0.20841431617736816 seg         Tiempo B: 0.0030901432037353516
202 : Tiempo A:  0.34270405769348145 seg         Tiempo B: 0.0036547183990478516
203 : Tiempo A:  5.252640008926392 seg   Tiempo B: 0.03309798240661621
204 : Tiempo A:  0.0812065601348877 seg  Tiempo B: 0.001390695571899414
205 : Tiempo A:  3.8654723167419434 seg  Tiempo B: 0.027755022048950195
206 : Tiempo A:  0.1361522674560547 seg  Tiempo B: 0.0020089149475097656
207 : Tiempo A:  0.6047899723052979 seg  Tiempo B: 0.0051670074462890625
208 : Tiempo A:  1.057570457458496 seg   Tiempo B: 0.008199930191040039
209 : Tiempo A:  0.025675296783447266 seg        Tiempo B: 0.0007584095001220703
210 : Tiempo A:  2.841606616973877 seg   Tiempo B: 0.01891303062438965
211 : Tiempo A:  2.3986446857452393 seg  Tiempo B: 0.01953411102294922
212 : Tiempo A:  0.10155344009399414 seg         Tiempo B: 0.001659393310546875
213 : Tiempo A:  5.545597314834595 seg   Tiempo B: 0.03184151649475098
214 : Tiempo A:  1.6834025382995605 seg  Tiempo B: 0.013628482818603516
215 : Tiempo A:  0.02999258041381836 seg         Tiempo B: 0.0007834434509277344
216 : Tiempo A:  3.4413816928863525 seg  Tiempo B: 0.02337646484375
217 : Tiempo A:  0.30696582794189453 seg         Tiempo B: 0.0035817623138427734
218 : Tiempo A:  0.1634671688079834 seg  Tiempo B: 0.002272367477416992
219 : Tiempo A:  4.507427215576172 seg   Tiempo B: 0.026284217834472656
220 : Tiempo A:  0.08479690551757812 seg         Tiempo B: 0.0014722347259521484
221 : Tiempo A:  0.12273454666137695 seg         Tiempo B: 0.0019152164459228516
222 : Tiempo A:  0.0043487548828125 seg  Tiempo B: 0.00022745132446289062
223 : Tiempo A:  0.021254301071166992 seg        Tiempo B: 0.0006206035614013672
224 : Tiempo A:  1.5468950271606445 seg  Tiempo B: 0.012209892272949219
225 : Tiempo A:  0.0013129711151123047 seg       Tiempo B: 9.226799011230469e-05
226 : Tiempo A:  3.934591293334961 seg   Tiempo B: 0.02510666847229004
227 : Tiempo A:  5.42217493057251 seg    Tiempo B: 0.030990123748779297
228 : Tiempo A:  0.03912711143493652 seg         Tiempo B: 0.0010290145874023438
229 : Tiempo A:  1.306762933731079 seg   Tiempo B: 0.012299776077270508
230 : Tiempo A:  0.0076906681060791016 seg       Tiempo B: 0.000316619873046875
231 : Tiempo A:  0.2928466796875 seg     Tiempo B: 0.0034317970275878906
232 : Tiempo A:  1.7983977794647217 seg  Tiempo B: 0.013115882873535156
233 : Tiempo A:  1.9461352825164795 seg  Tiempo B: 0.01535654067993164
234 : Tiempo A:  0.3420116901397705 seg  Tiempo B: 0.003753185272216797
235 : Tiempo A:  0.1447744369506836 seg  Tiempo B: 0.0025556087493896484
236 : Tiempo A:  0.30440664291381836 seg         Tiempo B: 0.0036644935607910156
237 : Tiempo A:  0.1470012664794922 seg  Tiempo B: 0.0021162033081054688
238 : Tiempo A:  0.09088635444641113 seg         Tiempo B: 0.001535654067993164
239 : Tiempo A:  3.873659372329712 seg   Tiempo B: 0.023854970932006836
240 : Tiempo A:  3.7393882274627686 seg  Tiempo B: 0.024011611938476562
241 : Tiempo A:  0.30512332916259766 seg         Tiempo B: 0.0038604736328125
242 : Tiempo A:  5.44809889793396 seg    Tiempo B: 0.030133962631225586
243 : Tiempo A:  1.6210029125213623 seg  Tiempo B: 0.013149499893188477
244 : Tiempo A:  3.470377206802368 seg   Tiempo B: 0.022818803787231445
245 : Tiempo A:  0.2098085880279541 seg  Tiempo B: 0.0036237239837646484
246 : Tiempo A:  0.009453773498535156 seg        Tiempo B: 0.0003676414489746094
247 : Tiempo A:  0.004644870758056641 seg        Tiempo B: 0.00022125244140625
248 : Tiempo A:  0.0001895427703857422 seg       Tiempo B: 3.7670135498046875e-05
249 : Tiempo A:  3.41270112991333 seg    Tiempo B: 0.023128747940063477
250 : Tiempo A:  0.9983923435211182 seg  Tiempo B: 0.00958108901977539
251 : Tiempo A:  3.4919652938842773 seg  Tiempo B: 0.025899171829223633
252 : Tiempo A:  0.09683823585510254 seg         Tiempo B: 0.0028200149536132812
253 : Tiempo A:  0.017928600311279297 seg        Tiempo B: 0.0006153583526611328
254 : Tiempo A:  5.534045219421387 seg   Tiempo B: 0.03378605842590332
255 : Tiempo A:  1.084656000137329 seg   Tiempo B: 0.009103775024414062
256 : Tiempo A:  1.5092527866363525 seg  Tiempo B: 0.014534950256347656
257 : Tiempo A:  0.34462714195251465 seg         Tiempo B: 0.0038149356842041016
258 : Tiempo A:  0.15770649909973145 seg         Tiempo B: 0.0022590160369873047
259 : Tiempo A:  0.09315681457519531 seg         Tiempo B: 0.0013949871063232422
260 : Tiempo A:  2.038860559463501 seg   Tiempo B: 0.015130996704101562
261 : Tiempo A:  1.7230010032653809 seg  Tiempo B: 0.011939764022827148
262 : Tiempo A:  0.0003325939178466797 seg       Tiempo B: 4.3392181396484375e-05
